"ObjectName","RA_deg","Dec_deg","groupNumber","ANG_SIZE_MAJ","ANG_SIZE_MIN"
"HCG88d",313.053,-5.79833,88,0.7,0.29
"HCG89a",320.004,-3.92214,89,0.9,0.6
"HCG89b",320.08,-3.89603,89,0.7,0.34
"HCG89c",320.035,-3.91761,89,0.48,0.29
"HCG89d",320.033,-3.90836,89,0.27,0.17
"HCG90a",330.508,-31.8697,90,2.5,1.4
"HCG90b",330.535,-31.9897,90,1,0.8
"HCG90c",330.513,-31.9737,90,1.2,0.9
"HCG90d",330.527,-31.993,90,2.3,1.2
"HCG91a",332.282,-27.8095,91,2.2,1.4
"HCG91b",332.318,-27.7303,91,1.1,0.2
"HCG91c",332.308,-27.7822,91,0.8,0.55
"HCG91d",332.285,-27.8004,91,0.4,0.3
"HCG92b",338.993,33.9659,92,1.9,1.2
"HCG92c",339.015,33.9757,92,1.7,1.3
"HCG92d",338.986,33.9655,92,0.9,0.9
"HCG92e",338.966,33.9449,92,1.1,1.1
"HCG92f",339.085,33.985,92,0.7,0.6
"HCG93a",348.817,18.9618,93,1.4,1.2
"HCG93b",348.822,19.0417,93,2.8,0.7
"HCG93c",348.764,18.9734,93,1.1,0.5
"HCG93d",348.888,19.0482,93,0.7,0.6
"HCG94a",349.306,18.7083,94,1,1
"HCG94b",349.3,18.7013,94,1.4,1.4
"HCG94c",349.334,18.7349,94,0.67,0.29
"HCG94d",349.313,18.7119,94,0.31,0.19
"HCG94e",349.314,18.7274,94,0.49,0.12
"HCG94f",349.327,18.7396,94,0.23,0.17
"HCG94g",349.333,18.7495,94,0.2,0.11
"HCG95a",349.875,9.50822,95,0.88,0.65
"HCG95c",349.88,9.50297,95,0.95,0.31
"HCG95d",349.866,9.49436,95,0.74,0.15
"HCG96a",351.986,8.77903,96,1.1,1
"HCG96b",352.025,8.76858,96,0.62,0.47
"HCG96c",351.995,8.78281,96,0.41,0.29
"HCG96d",352.001,8.76733,96,0.22,0.12
"HCG97a",356.846,-2.30067,97,1.7,1.1
"HCG97b",356.908,-2.31667,97,1.06,0.12
"HCG97c",356.849,-2.35125,97,0.78,0.49
"HCG97d",356.829,-2.3135,97,0.94,0.82
"HCG97e",356.833,-2.28067,97,0.39,0.33
"HCG99a",0.158083,28.3846,99,1.1,0.4
"HCG99b",0.195667,28.402,99,1,0.9
"HCG99c",0.183333,28.4014,99,0.8,0.4
"HCG99d",0.187875,28.3717,99,0.72,0.46
"HCG99e",0.176708,28.369,99,0.38,0.3
"HCG100a",0.333208,13.1112,100,1,0.6
"HCG100b",0.3585,13.113,100,0.58,0.52
"HCG100c",0.30575,13.1441,100,0.9,0.5
"HCG100d",0.312375,13.1126,100,0.53,0.2
