      Input Object Name       	     RA     	    Dec     	  cz  	 Redshift 	 Redshift  	 z  	Basic-Data	Basic-Data
                              	  J2000.0   	  J2000.0   	 km/s 	          	Uncertainty	Qual	Major Diam	Minor Diam
                              	            	            	      	          	           	    	 (arcmin) 	 (arcmin)  
HCG 53b                       	11h28m59.87s	+20d44m20.9s	  6335	  0.021131	   0.000083	    	      0.82	      0.48
HCG 53c                       	11h28m58.51s	+20d44m58.8s	  6249	  0.020844	   0.000057	    	       0.7	       0.5
HCG 53d                       	11h29m14.60s	+20d46m23.3s	  6280	  0.020948	           	    	      0.49	      0.27
HCG 55a                       	11h32m06.96s	+70d48m55.7s	 16070	  0.053604	   0.000200	    	      0.44	      0.43
HCG 55b                       	11h32m05.64s	+70d48m23.6s	 15690	  0.052336	   0.000334	    	      0.26	      0.23
HCG 55c                       	11h32m05.69s	+70d48m38.7s	 15480	  0.051636	   0.000334	    	      0.57	      0.38
HCG 55d                       	11h32m06.79s	+70d49m16.4s	 16070	  0.053604	   0.000334	    	      0.27	      0.22
HCG 56a                       	11h32m46.70s	+52d56m27.2s	  8205	  0.027370	   0.000108	    	      1.15	      0.19
HCG 56b                       	11h32m40.25s	+52d57m01.4s	  7919	  0.026415	   0.000127	    	      0.65	      0.36
HCG 56c                       	11h32m36.73s	+52d56m51.7s	  8110	  0.027052	   0.000093	    	      0.74	      0.56
HCG 56d                       	11h32m35.33s	+52d56m50.1s	  8346	  0.027839	   0.000187	    	      0.42	      0.26
HCG 56e                       	11h32m32.77s	+52d56m21.4s	  7988	  0.026645	   0.000099	    	      0.44	      0.31
HCG 57a                       	11h37m53.90s	+21d58m53.0s	  8727	  0.029110	   0.000103	    	       1.7	       0.5
HCG 57b                       	11h37m43.62s	+22d00m35.4s	  9022	  0.030094	   0.000067	    	       1.1	       0.5
HCG 57c                       	11h37m51.64s	+21d58m27.3s	  9081	  0.030291	   0.000120	    	       0.8	       0.7
HCG 57d                       	11h37m54.92s	+21d59m07.8s	  8977	  0.029944	   0.000137	    	       0.4	       0.3
HCG 57e                       	11h37m49.06s	+22d01m34.1s	  8816	  0.029407	   0.000063	    	       0.7	       0.4
HCG 57f                       	11h37m53.86s	+21d56m11.3s	  9394	  0.031335	   0.000130	    	      0.69	      0.40
HCG 57g                       	11h37m44.43s	+22d01m16.6s	  9463	  0.031565	   0.000077	    	       0.4	       0.2
HCG 57h                       	11h37m50.50s	+22d00m45.2s	  9240	  0.030821	   0.000350	    	      0.33	      0.28
HCG 58a                       	11h42m11.11s	+10d16m40.0s	  6267	  0.020904	   0.000020	    	       1.4	       0.8
HCG 58b                       	11h42m23.73s	+10d15m50.9s	  6503	  0.021692	   0.000057	    	      1.68	      0.96
HCG 58c                       	11h41m52.95s	+10d18m15.8s	  6103	  0.020357	   0.000063	    	      1.09	      0.84
HCG 58d                       	11h42m05.86s	+10d21m04.1s	  6274	  0.020928	   0.000037	    	      0.91	      0.73
HCG 58e                       	11h42m04.91s	+10d23m03.3s	  6102	  0.020355	   0.000110	    	      0.65	      0.50
HCG 59a                       	11h48m27.52s	+12d43m38.6s	  4109	  0.013706	   0.000103	    	      0.59	      0.54
HCG 59b                       	11h48m20.12s	+12d42m59.7s	  4004	  0.013356	   0.000087	    	       0.5	       0.5
HCG 59c                       	11h48m32.45s	+12d42m19.1s	  4394	  0.014656	   0.000086	    	      0.90	      0.29
HCG 59d                       	11h48m30.66s	+12d43m47.3s	  3635	  0.012125	   0.000116	    	      0.69	      0.43
HCG 60a                       	12h03m07.12s	+51d40m30.6s	 19007	  0.063401	   0.000153	    	      0.58	      0.45
HCG 60b                       	12h02m56.53s	+51d41m42.0s	 18396	  0.061363	   0.000177	    	      0.38	      0.21
HCG 60c                       	12h03m06.93s	+51d41m07.6s	 19277	  0.064301	   0.000600	    	      0.37	      0.26
HCG 60d                       	12h03m09.62s	+51d40m41.4s	 18223	  0.060785	   0.000157	    	      0.34	      0.28
HCG 62a                       	12h53m05.81s	-09d12m13.8s	  4259	  0.014206	   0.000033	    	       0.7	       0.5
HCG 62b                       	12h53m04.46s	-09d11m59.7s	  3561	  0.011878	   0.000060	    	       2.6	       2.0
HCG 62c                       	12h53m09.81s	-09d11m52.1s	  4432	  0.014784	   0.000057	    	       0.4	       0.3
HCG 62d                       	12h53m06.63s	-09d15m27.5s	  4174	  0.013923	   0.000110	    	      0.66	      0.56
HCG 65a                       	13h29m50.93s	-29d30m52.7s	 13735	  0.045815	   0.000010	    	       1.4	       0.8
HCG 65b                       	13h29m54.80s	-29d29m48.9s	 14662	  0.048907	   0.000150	    	      0.91	      0.40
HCG 65c                       	13h29m53.17s	-29d29m30.7s	 14147	  0.047189	   0.000150	    	      0.63	      0.49
HCG 65d                       	13h29m52.12s	-29d30m47.3s	 13733	  0.045810	   0.000009	    	      0.33	      0.23
HCG 65e                       	13h29m55.43s	-29d29m29.6s	 14405	  0.048050	   0.000357	    	      0.15	      0.15
HCG 66a                       	13h38m38.25s	+57d18m44.3s	 20688	  0.069008	   0.000120	    	      0.45	      0.39
HCG 66b                       	13h38m40.38s	+57d18m45.1s	 21440	  0.071515	   0.000174	    	      0.49	      0.27
