#Type ObjectName       	        RA     	        Dec     	 limit_cz   cz    Redshift    Redshift_uncertainty  zQual    MajorDiam	 MinorDiam
HCG33d                       	05h10m53.15s	+18d02m01.0s NULL	  7767	  0.025908	   0.000123	 NULL   	      0.24	      0.24
HCG34a                       	05h21m45.76s	+06d41m19.9s NULL	  8994	  0.030000	   0.000100	 NULL   	       1.6	       0.4
HCG34b                       	05h21m49.79s	+06d40m37.3s NULL	  9620	  0.032089	   0.000133	 NULL   	      0.28	      0.12
HCG34c                       	05h21m48.88s	+06d40m55.4s NULL	  9392	  0.031328	   0.000133	 NULL   	      0.37	      0.19
HCG34d                       	05h21m47.69s	+06d41m02.0s NULL	  8817	  0.029410	   0.000220	   :	          0.15	      0.10
HCG35a                       	08h45m21.25s	+44d31m14.1s NULL	 15919	  0.053100	   0.000127	 NULL   	      0.17	      0.13
HCG35b                       	08h45m20.59s	+44d30m32.2s NULL	 16338	  0.054498	   0.000107	 NULL   	      0.53	      0.46
HCG35c                       	08h45m18.42s	+44d31m39.6s NULL	 16249	  0.054200	   0.000834	 NULL   	      0.35	      0.30
HCG35d                       	08h45m20.71s	+44d32m23.1s NULL	 15798	  0.052696	   0.000133	 NULL   	      0.51	      0.19
HCG35e                       	08h45m20.75s	+44d30m12.0s NULL	 16711	  0.055743	   0.000178	 NULL   	      0.24	      0.14
HCG35f                       	08h45m20.87s	+44d31m59.7s NULL	 16330	  0.054471	   0.000207	 NULL   	      0.14	      0.12
HCG37a                       	09h13m39.46s	+29d59m34.7s NULL	  6745	  0.022499	   0.000067	 NULL   	      2.04	      0.98
HCG37b                       	09h13m33.15s	+30d00m00.5s NULL	  6758	  0.022542	   0.000077	 NULL   	      1.88	      0.28
HCG37c                       	09h13m37.35s	+29d59m58.4s NULL	  7356	  0.024537	   0.000123	 NULL   	       0.3	       0.2
HCG37d                       	09h13m33.80s	+30d00m56.8s NULL	  6131	  0.020451	   0.000057	 NULL   	      0.40	      0.32
HCG37e                       	09h13m34.02s	+30d02m23.4s NULL	  6469	  0.021578	   0.000060	 NULL   	      0.36	      0.35
HCG39a                       	09h29m27.72s	-01d20m44.8s NULL	 21119	  0.070445	   0.000173	 NULL   	      0.35	      0.27
