#ObjectName,RA,Dec,RA_deg,Dec_deg,l_cz,cz,z,z_uncertainty,z_Qual,ANG_SIZE_MAJ,ANG_SIZE_MIN
HCG50b,11:17:08.31,+54:55:02.8,169.284625,54.91744444444444,>,30000,0.137328,3.7E-4,,0.27,0.15
HCG50c,11:17:04.05,+54:55:15.4,169.26687500000003,54.92094444444444,>,30000,0.137915,1.41E-4,,0.19,0.17
HCG50d,11:17:06.54,+54:55:25.2,169.27725000000004,54.92366666666667,>,30000,0.141918,2.07E-4,,0.24,0.14
HCG50e,11:17:08.70,+54:55:14.0,169.28624999999997,54.92055555555555,>,30000,0.138929,2.07E-4,,0.14,0.1
HCG51a,11:22:26.32,+24:17:56.7,170.6096666666667,24.299083333333336,,7626,0.025438,8.3E-5,,1.33,1.23
HCG51b,11:22:14.22,+24:18:00.5,170.55925,24.30013888888889,,8219,0.027416,1.57E-4,,0.8,0.6
HCG51c,11:22:30.07,+24:16:45.4,170.62529166666667,24.27927777777778,,8902,0.029694,6.7E-5,,0.9,0.6
HCG51d,11:22:30.54,+24:17:59.7,170.62724999999998,24.299916666666668,,7529,0.025114,1.07E-4,,0.3,0.3
HCG51e,11:22:13.28,+24:19:01.8,170.5553333333333,24.317166666666665,,7700,0.025684,7.7E-5,,0.3,0.3
HCG51f,11:22:26.38,+24:17:43.6,170.60991666666663,24.295444444444446,,7532,0.025124,1.0E-4,,0.57,0.28
HCG51g,11:22:28.14,+24:17:43.5,170.61725000000004,24.295416666666668,,7532,0.025124,1.37E-4,,0.23,0.19
HCG53a,11:28:50.38,+20:47:42.1,172.20991666666663,20.79502777777778,,6261,0.020884,1.03E-4,,2.28,0.71
HCG53b,11:28:59.87,+20:44:20.9,172.2494583333333,20.739138888888892,,6335,0.021131,8.3E-5,,0.82,0.48
HCG53c,11:28:58.51,+20:44:58.8,172.24379166666665,20.749666666666666,,6249,0.020844,5.7E-5,,0.7,0.5
HCG53d,11:29:14.60,+20:46:23.3,172.3108333333333,20.77313888888889,,6280,0.020948,,,0.49,0.27
HCG55a,11:32:06.96,+70:48:55.7,173.02900000000002,70.81547222222223,,16070,0.053604,2.0E-4,,0.44,0.43
HCG55b,11:32:05.64,+70:48:23.6,173.02349999999998,70.80655555555556,,15690,0.052336,3.34E-4,,0.26,0.23
HCG55c,11:32:05.69,+70:48:38.7,173.02370833333333,70.81075,,15480,0.051636,3.34E-4,,0.57,0.38
HCG55d,11:32:06.79,+70:49:16.4,173.02829166666666,70.82122222222222,,16070,0.053604,3.34E-4,,0.27,0.22
HCG56a,11:32:46.70,+52:56:27.2,173.19458333333333,52.94088888888889,,8205,0.02737,1.08E-4,,1.15,0.19
