#ObjectName,RA,Dec,limit_cz,cz,Redshift,Redshift_uncertainty,zQual,MajorDiam,MinorDiam
HCG72b,14:47:54.92,+19:03:36.1,,12356,0.041215,0.000127,,0.52,0.22
HCG72c,14:47:56.81,+19:02:42.3,,13062,0.043570,0.000133,,0.6,0.2
HCG72d,14:47:55.64,+19:03:26.2,,12558,0.041889,0.000150,,0.2,0.2
HCG72f,14:47:55.11,+19:02:50.7,,13950,0.046532,0.000344,,0.30,0.20
HCG74a,15:19:24.74,+20:53:46.8,,12255,0.040878,0.000100,,0.82,0.77
HCG74b,15:19:24.26,+20:53:26.9,,11976,0.039948,0.000070,,0.62,0.43
HCG74c,15:19:25.84,+20:53:58.3,,12266,0.040915,0.000143,,0.45,0.30
HCG74d,15:19:31.79,+20:53:00.8,,11681,0.038964,0.000140,,0.33,0.26
HCG74e,15:19:27.79,+20:54:32.0,,11489,0.038323,0.000324,,0.20,0.13
HCG75a,15:21:30.25,+21:11:28.4,,12538,0.041822,0.000140,,0.73,0.53
HCG75b,15:21:30.43,+21:11:32.8,,12228,0.040788,0.000143,,0.63,0.17
HCG75c,15:21:38.79,+21:10:37.1,,12292,0.041002,0.000187,,0.35,0.23
HCG75d,15:21:37.20,+21:10:53.5,,12334,0.041142,0.000140,,0.33,0.18
HCG75e,15:21:34.11,+21:10:44.5,,12300,0.041028,0.001001,,0.40,0.18
HCG75f,15:21:29.83,+21:11:07.8,,13080,0.043630,0.000223,:,0.21,0.17
HCG75h,15:21:31.77,+21:10:10.6,,12191,0.040664,,,0.22,0.13
HCG76a,15:31:47.60,+07:18:29.3,,10088,0.033650,0.000093,,0.7,0.2
HCG76b,15:31:40.24,+07:20:20.4,,10002,0.033363,0.000100,,0.68,0.55
HCG76c,15:31:36.82,+07:18:44.7,,10663,0.035568,0.000097,,0.71,0.67
HCG76d,15:31:42.22,+07:17:14.6,,10194,0.034004,0.000097,,0.58,0.49
HCG76e,15:31:50.20,+07:18:41.8,,10328,0.034450,0.000173,,0.27,0.25
HCG76f,15:31:39.50,+07:20:09.4,,10216,0.034077,0.000300,,0.47,0.32
HCG76g,15:31:36.05,+07:20:59.1,,9843,0.032833,0.000270,,1.20,0.21
HCG79a,15:59:11.14,+20:45:17.5,,4560,0.015210,0.000027,,0.5,0.4
HCG79b,15:59:12.54,+20:45:48.1,,4447,0.014834,0.000037,,0.4,0.2
HCG79c,15:59:10.83,+20:45:43.9,,4053,0.013519,0.000027,,0.4,0.2
HCG79d,15:59:11.87,+20:44:51.4,,4620,0.015412,0.000010,,0.9,0.2
HCG79f,15:59:14.48,+20:45:57.3,,4095,0.013659,0.000137,,0.8,0.4
HCG80a,15:59:19.04,+65:13:57.4,,8975,0.029938,0.000015,,0.85,0.18
HCG80b,15:59:21.62,+65:13:22.8,,9584,0.031969,0.000130,,0.34,0.29
HCG80c,15:59:07.05,+65:14:01.5,,9550,0.031855,0.000123,,0.33,0.27
HCG80d,15:59:12.04,+65:13:19.1,,9108,0.030381,0.000180,,0.45,0.18
HCG81a,16:18:13.64,+12:48:10.3,,14676,0.048954,0.000153,,0.40,0.15
HCG81b,16:18:14.13,+12:47:19.2,,15150,0.050535,0.000314,,0.39,0.18
HCG81c,16:18:14.82,+12:47:35.8,,14930,0.049801,0.000181,,0.40,0.30
HCG81d,16:18:14.61,+12:47:44.1,,14954,0.049881,0.000304,,0.26,0.23
HCG82a,16:28:22.37,+32:50:57.6,,11177,0.037282,0.000100,,0.9,0.7
HCG82b,16:28:27.91,+32:50:47.0,,10447,0.034847,0.000123,,0.81,0.57
HCG82c,16:28:20.63,+32:48:38.3,,10095,0.033673,0.000127,,0.84,0.32
HCG82d,16:28:16.88,+32:48:47.8,,11685,0.038977,0.000153,,0.49,0.19
HCG83a,16:35:36.31,+06:15:55.3,,15560,0.051903,0.000200,,0.26,0.26
HCG83b,16:35:40.25,+06:15:44.3,,16442,0.054845,0.000230,,0.30,0.23
HCG83c,16:35:43.15,+06:16:44.5,,16520,0.055105,0.000444,,0.26,0.14
HCG83d,16:35:41.09,+06:15:32.5,,15500,0.051702,0.000444,:,0.12,0.10
HCG84a,16:44:22.82,+77:50:19.5,,16654,0.055552,0.000203,,0.59,0.49
HCG84b,16:44:13.40,+77:51:31.1,,16554,0.055218,0.000244,,0.48,0.21
HCG84c,16:44:30.00,+77:49:48.9,,16353,0.054548,0.000237,,0.50,0.25
HCG84d,16:44:02.44,+77:51:23.3,,16800,0.056039,0.000307,,0.27,0.15
HCG84e,16:44:26.93,+77:50:17.0,,16950,0.056539,0.000270,,0.15,0.15
HCG85a,18:50:18.45,+73:21:05.2,,11155,0.037209,0.000127,,0.53,0.49
HCG85b,18:50:26.33,+73:20:42.7,,12122,0.040435,0.000120,,0.44,0.41
HCG85c,18:50:29.68,+73:21:27.4,,11912,0.039734,0.000157,,0.30,0.14
HCG85d,18:50:36.07,+73:20:57.0,,11900,0.039694,0.000320,,0.22,0.21
HCG86a,19:52:08.77,-30:49:32.7,,6013,0.020057,0.000037,,1.2,0.7
HCG86b,19:51:59.06,-30:48:58.4,,5863,0.019557,0.000030,,0.74,0.55
HCG86c,19:51:57.46,-30:51:25.0,,5317,0.017736,0.000117,,0.57,0.44
HCG86d,19:51:51.94,-30:48:30.4,,5923,0.019757,0.000060,,0.62,0.32
HCG87a,20:48:15.00,-19:50:57.9,,8443,0.028164,0.000047,,1.6,0.3
HCG87b,20:48:10.93,-19:51:23.1,,8738,0.029147,0.000077,,0.7,0.6
HCG87c,20:48:11.99,-19:49:55.9,,8914,0.029733,0.000022,,0.7,0.2
HCG87d,20:48:12.77,-19:50:46.1,,10200,0.034024,0.000534,:,0.26,0.19
HCG88a,20:52:35.43,-05:42:40.1,,6033,0.020124,0.000083,,1.77,0.65
HCG88b,20:52:29.71,-05:44:46.0,,6192,0.020655,0.000050,,1.22,0.90
HCG88c,20:52:26.03,-05:46:20.3,,5956,0.019868,0.000021,,0.98,0.84
HCG88d,20:52:12.77,-05:47:54.0,,6041,0.020152,0.000014,,0.70,0.29
